Value,Lotsize,Bed,Bath,Rooms,Age,Eat in kitchen,CAC,Fireplace,Sewer,Basement,Modern kitchen,Modern bathrooms
215,6,2,2,7,30,1,1,0,1,1,0,0
195,6,5,2,8,35,1,0,0,1,0,1,1
160,6,2,1,7,35,1,0,0,1,1,1,1
189,9.41,3,1.5,6,24,1,0,0,0,1,1,1
249,11.25,4,2.5,8,22,1,0,0,1,1,1,1
267,9.88,6,2.5,9,33,1,0,1,1,1,0,0
199.9,6,4,2,6,38,1,0,0,0,1,1,1
169,6,3,1,6,37,1,0,0,1,0,1,1
179,6,3,1,6,35,1,0,0,1,1,0,0
218,6,3,2,7,31,1,0,0,1,1,0,0
247,8,4,2,8,30,1,1,1,1,1,1,1
218,7.4,3,2,7,30,1,0,0,1,1,1,1
299.9,5.18,4,3.5,8,15,1,1,0,1,1,1,1
172,6,3,1,6,35,1,0,0,1,0,1,1
230,7.2,3,2.5,7,31,1,0,0,1,1,1,1
235,5,3,1.5,7,34,1,0,0,0,1,1,1
190,6,4,1.5,8,44,1,0,0,1,1,1,1
180,7.2,3,1,5,40,1,0,0,1,0,0,0
213,7,4,2,8,35,1,0,0,1,1,1,1
175,6,4,1,6,38,1,0,0,1,1,0,0
170,5,3,2,6,41,1,0,0,1,1,1,1
215,7,4,2,7,35,1,0,0,1,1,0,0
229.5,7,3,1.5,7,28,1,0,0,1,1,1,1
180,7.2,3,2,6,14,1,0,0,1,1,1,1
225,6.86,3,2,6,30,1,0,1,1,1,1,1
155,6.48,3,1,5,35,1,0,0,0,0,0,0
179,7,4,1,6,37,1,0,1,0,0,1,1
195,7.75,3,1.5,7,34,1,0,0,1,1,1,1
179.9,6,4,1,6,25,1,0,0,0,1,0,0
225,6,3,2,7,33,1,0,0,1,1,1,1
197.5,6.3,4,1,8,34,1,0,0,1,1,1,1
195,7.75,4,2.5,8,22,1,0,0,1,1,1,1
190,7,4,2,7,35,1,0,0,1,1,1,1
245,6,3,1.5,7,30,1,1,0,1,1,0,0
206.7,11.7,3,2,10,28,1,0,0,1,1,0,0
199,10,3,2,6,38,1,0,1,1,1,1,1
190,3.55,4,2,6,35,1,0,0,1,1,0,0
297.5,12.18,5,2.5,9,24,1,0,0,1,1,1,0
229,7,3,2,7,35,1,0,0,1,0,0,0
215,7.5,4,2,7,35,1,0,0,1,1,0,0
190,6.78,4,2,6,39,1,0,0,1,1,1,1
290,10.5,4,2.5,9,29,1,0,1,1,1,0,0
310,7.32,4,2.5,11,32,1,0,0,1,1,1,1
206,11,4,1,7,35,1,0,0,1,1,0,0
224.5,10.4,3,2,7,15,1,0,0,0,1,1,1
220,6,3,1.5,7,31,1,0,0,1,1,1,1
270,10.32,3,2.5,7,26,1,0,0,1,1,0,0
205,6,4,1,8,36,0,0,0,1,1,0,0
240,7,4,2.5,8,29,1,1,0,1,1,1,1
210,12.24,5,2,7,30,1,0,0,1,1,0,0
215,7.48,3,2,7,35,1,0,0,1,1,0,0
210,7.2,4,2,8,30,1,0,0,1,1,0,0
229,10.8,4,1,6,36,1,0,1,1,0,1,1
280,8,3,3,8,32,1,1,0,1,1,1,1
280,6,3,2.5,7,30,1,0,0,1,1,1,1
174.5,6,3,1,6,35,1,0,1,0,0,1,1
185,4.1,3,1,6,38,1,0,0,1,1,1,0
180,7.2,4,1,7,30,0,0,0,1,1,0,0
205,7.5,4,2,7,26,1,0,0,1,1,0,0
190,6,4,2,7,39,1,0,0,1,1,0,0
195,6,4,2,7,32,1,0,0,1,1,0,0
260,6.5,3,2.5,10,31,1,1,0,1,1,1,1
168,6,2,1,5,38,1,0,0,1,1,1,1
180,6,4,1,6,50,1,1,1,1,1,0,0
185,6,4,1,7,35,1,0,0,1,1,1,1
286.5,6,5,2.5,11,32,1,0,0,1,1,1,1
165.9,6,3,1,6,45,1,0,0,1,1,1,1
265,6,3,1,6,31,1,0,0,1,1,1,0
230,6,4,2,6,35,1,0,0,1,1,0,0
194,8.3,2,2,6,35,1,1,1,1,1,1,1
295,12.21,5,3,8,28,1,0,1,1,1,0,0
169.5,6.5,3,2,6,35,1,0,1,1,0,0,0
275,6,3,2,9,32,1,1,1,1,1,1,1
225,7.7,3,2.5,10,34,1,0,0,1,1,0,0