Team,Current_Value,Debt_to_Value,Revenue,Operating_Income
Dallas Cowboys,5000,0.07,864,365
New England Patriots,3800,0.06,593,235
New York Giants,3300,0.15,493,149
Los Angeles Rams,3200,0.45,366,68
Washington Redskins,3100,0.08,491,122
San Francisco 49ers,3050,0.14,470,106
Chicago Bears,2900,0.04,431,100
New York Jets,2850,0.19,443,130
Houston Texans,2800,0.01,464,161
Philadelphia Eagles,2750,0.07,458,114
Denver Broncos,2650,0.11,427,106
Green Bay Packers,2625,0.04,434,62
Atlanta Falcons,2600,0.33,451,113
Baltimore Ravens,2590,0.1,417,107
Pittsburgh Steelers,2585,0.08,415,85
Seattle Seahawks,2580,0.06,413,71
Miami Dolphins,2575,0.18,414,56
Oakland Raiders,2420,0.33,335,24
Minnesota Vikings,2400,0.24,408,90
Indianapolis Colts,2380,0.04,373,67
Carolina Panthers,2300,0.09,396,62
Los Angeles Chargers,2275,0.09,346,48
Arizona Cardinals,2150,0.07,380,74
Kansas City Chiefs,2100,0.06,380,60
Jacksonville Jaguars,2080,0.04,391,63
New Orleans Saints,2075,0.1,413,115
Tennessee Titans,2050,0.07,371,48
Tampa Bay Buccaneers,2000,0.09,383,88
Cleveland Browns,1950,0.11,375,31
Cincinnati Bengals,1800,0.06,359,60
Detroit Lions,1700,0.15,361,4.1
Buffalo Bills,1600,0.12,364,67